iter	Passed	Remaining
952	3011	148
953	3014	145
954	3017	142
955	3020	139
956	3023	135
957	3027	132
958	3030	129
959	3033	126
960	3036	123
961	3039	120
962	3042	116
963	3045	113
964	3049	110
965	3052	107
966	3054	104
967	3057	101
968	3060	97
969	3063	94
970	3066	91
971	3069	88
972	3072	85
973	3075	82
974	3079	78
975	3082	75
976	3085	72
977	3088	69
978	3091	66
979	3094	63
980	3097	59
981	3100	56
982	3103	53
983	3106	50
984	3109	47
985	3112	44
986	3115	41
987	3118	37
988	3121	34
989	3124	31
990	3127	28
991	3130	25
992	3134	22
993	3137	18
994	3140	15
995	3143	12
996	3147	9
997	3150	6
998	3153	3
999	3156	0
