iter	Logloss
0	0.6477611179
1	0.6057486308
2	0.5702329892
3	0.5384451706
4	0.5103665679
5	0.4850027853
6	0.4628581568
7	0.4425664124
8	0.4265481675
9	0.4123721912
10	0.3974576562
11	0.3855183667
12	0.374234947
13	0.3637428757
14	0.3549523839
15	0.3476017874
16	0.3403680437
17	0.3339130069
18	0.3291966765
19	0.3240502468
20	0.3201207177
21	0.3160290107
22	0.3121990502
23	0.3087327414
24	0.3054347773
25	0.3024930384
26	0.3001224051
27	0.2978526569
28	0.2959442798
29	0.2940236705
30	0.2926582052
31	0.2911394562
32	0.2898921214
33	0.2884747037
34	0.2872880542
35	0.2864194405
36	0.2856496644
37	0.2847551253
38	0.2840398406
39	0.2830591614
40	0.2823868007
41	0.2816060282
42	0.2807873543
43	0.2801122627
44	0.279548709
45	0.2791222199
46	0.2786945436
47	0.2782981579
48	0.2778282729
49	0.2774623741
50	0.2771542454
51	0.2768260217
52	0.276511729
53	0.2762157813
54	0.2759324486
55	0.2756390569
56	0.2754238655
57	0.2751195251
58	0.2748697597
59	0.2745532771
60	0.2742479807
61	0.2739999624
62	0.2738150294
63	0.2735828637
64	0.2733439736
65	0.2730740721
66	0.2728363276
67	0.2726072313
68	0.2724421828
69	0.272279755
70	0.2721734041
71	0.2720862515
72	0.2718728646
73	0.2717729014
74	0.2716296238
75	0.2715372085
76	0.2714027397
77	0.2712327136
78	0.2711051432
79	0.2710280979
80	0.2709080834
81	0.2707748528
82	0.2706620605
83	0.2705337906
84	0.2703480414
85	0.2702306817
86	0.2700645486
87	0.2699661264
88	0.2697977268
89	0.2696243017
90	0.2695093582
91	0.2694080519
92	0.2693273853
93	0.2692457696
94	0.2691146504
95	0.2690119433
96	0.2689190748
97	0.2688462385
98	0.2687705353
99	0.2686706774
100	0.2685438107
101	0.2684550294
102	0.2683985132
103	0.2683126686
104	0.2682222168
105	0.2681682221
106	0.2680994106
107	0.2680505553
108	0.2679435642
109	0.2679058353
110	0.2677762266
111	0.2677171722
112	0.2676167676
113	0.2675711604
114	0.2675309419
115	0.2674585877
116	0.2673516748
117	0.2672796168
118	0.2671931546
119	0.2671044657
120	0.2670662585
121	0.2669704464
122	0.2668798556
123	0.2667893107
124	0.2667641512
125	0.266741756
126	0.266701304
127	0.2666240474
128	0.2665547611
129	0.2664583168
130	0.2664510583
131	0.2663625283
132	0.2663208769
133	0.2662488118
134	0.266202919
135	0.2661523264
136	0.2660739964
137	0.2660146328
138	0.265988407
139	0.2658950855
140	0.2657979534
141	0.2657600245
142	0.2657102927
143	0.2656259171
144	0.2655526436
145	0.2654524751
146	0.265396638
147	0.2653087219
148	0.2652070874
149	0.2651234391
150	0.2650478013
151	0.2649829383
152	0.2649090852
153	0.2648414279
154	0.2647716472
155	0.2647265602
156	0.264675339
157	0.2646665536
158	0.2646258668
159	0.2645764142
160	0.2645279179
161	0.2644411407
162	0.2643915304
163	0.2643250103
164	0.2642470556
165	0.2641896937
166	0.2641276903
167	0.2640714894
168	0.2640074228
169	0.2639487051
170	0.2638714277
171	0.2637926384
172	0.2637259607
173	0.2636911469
174	0.2636156435
175	0.2635761294
176	0.263491637
177	0.2634323285
178	0.2633856141
179	0.2633716102
180	0.2633340247
181	0.2632770084
182	0.2632297634
183	0.2631793942
184	0.2631010865
185	0.2630887983
186	0.2630299961
187	0.2629225228
188	0.2628592643
189	0.2627893816
190	0.2627309805
191	0.2626793082
192	0.2626308137
193	0.2625776692
194	0.2625286559
195	0.2624655043
196	0.2623730166
197	0.2623410359
198	0.2622600126
199	0.2622010107
200	0.2621371296
201	0.2620885383
202	0.2620446545
203	0.2619878044
204	0.2619325975
205	0.2618586783
206	0.2617697146
207	0.2617110749
208	0.2616574541
209	0.2616008993
210	0.2615484758
211	0.2614654278
212	0.2614030601
213	0.2613472551
214	0.261297254
215	0.2612018333
216	0.2611638755
217	0.261076461
218	0.2610184298
219	0.2609659472
220	0.260913615
221	0.2608811623
222	0.2608041945
223	0.2607187804
224	0.2606351532
225	0.2605384785
226	0.2604839555
227	0.2604417978
228	0.2603792729
229	0.2603140134
230	0.2602775447
231	0.2602255513
232	0.2601683942
233	0.2601037295
234	0.2600532035
235	0.2600062909
236	0.2599342286
237	0.25986448
238	0.2598076306
239	0.2597472394
240	0.2597039502
241	0.25968045
242	0.2596163135
243	0.2595189165
244	0.2594818562
245	0.2594316258
246	0.2593908423
247	0.259342009
248	0.2593021609
249	0.2592531761
250	0.2591816568
251	0.2590753905
252	0.2590059202
253	0.25894118
254	0.258853542
255	0.258761639
256	0.2587039023
257	0.2586679969
258	0.2586139995
259	0.2585489003
260	0.2584681329
261	0.2583890859
262	0.2582956804
263	0.258207329
264	0.2581738339
265	0.2581179441
266	0.2580315213
267	0.2579820726
268	0.2579201032
269	0.2578974848
270	0.2578326387
271	0.2577958075
272	0.2577417168
273	0.2576936532
274	0.2576476942
275	0.2575746403
276	0.257516453
277	0.2574582148
278	0.25740896
279	0.257321283
280	0.2572316226
281	0.2571349047
282	0.257068507
283	0.2569929362
284	0.2569564547
285	0.2568750416
286	0.256837383
287	0.2567781203
288	0.2566980218
289	0.2566398973
290	0.2565862795
291	0.2565298233
292	0.2564675176
293	0.2564145805
294	0.2563499845
295	0.2562885835
296	0.2562030147
297	0.2561765139
298	0.2561081399
299	0.2560129646
300	0.2559482966
301	0.2559052273
302	0.2558431606
303	0.2557789016
304	0.2556857034
305	0.2556333252
306	0.2555797756
307	0.2554951247
308	0.2554307411
309	0.2553821401
310	0.2553147715
311	0.2552649896
312	0.2551943407
313	0.2551366472
314	0.2550287418
315	0.2549625961
316	0.2548962526
317	0.2548382567
318	0.2547739845
319	0.2547227166
320	0.2546950568
321	0.2546137126
322	0.2545697013
323	0.2545459587
324	0.2544644692
325	0.2544042258
326	0.2543382339
327	0.2542692661
328	0.2542064324
329	0.2541452866
330	0.2541197712
331	0.2540599832
332	0.2540052089
333	0.2539473546
334	0.2539373002
335	0.2538710241
336	0.2538129538
337	0.2537684238
338	0.2537167912
339	0.2536257213
340	0.2535588805
341	0.2535118068
342	0.2534542498
343	0.2534073073
344	0.2533532845
345	0.2532524537
346	0.2532108831
347	0.2531430763
348	0.2530950056
349	0.2530543182
